scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP-noDelta,25,3,0.75714,0.75714,0.68403,3.038,6.432,0.1173
urban,QDAP-noDelta,25,4,0.84921,0.84921,0.58392,2.708,6.814,0.1173
urban,QDAP-noDelta,25,5,0.82754,0.82754,0.64255,2.751,6.707,0.1280
urban,QDAP-noDelta,25,6,0.69028,0.69028,0.59882,2.859,7.914,0.1333
urban,QDAP-noDelta,25,7,0.64603,0.64603,0.57372,2.806,7.735,0.1173
urban,QDAP-noDelta,25,8,0.80303,0.80303,0.62808,2.952,6.415,0.1227
urban,QDAP-noDelta,25,9,0.50667,0.50667,0.60557,3.093,8.335,0.1120
urban,QDAP-noDelta,25,10,0.68730,0.68730,0.60395,2.740,6.289,0.1173
urban,QDAP-noDelta,25,11,0.83623,0.83623,0.58735,2.674,7.586,0.1280
urban,QDAP-noDelta,25,12,0.86333,0.86333,0.64536,2.756,6.980,0.1120
urban,QDAP-noDelta,25,13,0.71429,0.71429,0.52948,2.686,6.490,0.1173
urban,QDAP-noDelta,25,14,0.66364,0.66364,0.61848,2.795,7.692,0.1227
urban,QDAP-noDelta,25,15,0.62500,0.62500,0.67987,3.341,8.613,0.1120
urban,QDAP-noDelta,25,16,0.84127,0.84127,0.64091,2.660,7.467,0.1173
urban,QDAP-noDelta,25,17,0.79697,0.79697,0.65881,2.615,6.109,0.1227
urban,QDAP-noDelta,25,18,0.82899,0.82899,0.64063,2.419,6.780,0.1280
urban,QDAP-noDelta,25,19,0.58116,0.58116,0.59810,2.537,5.874,0.1280
urban,QDAP-noGhost,25,0,0.85833,0.85833,0.64658,13.191,24.315,0.1120
urban,QDAP-noGhost,25,1,0.82576,0.82576,0.66542,20.908,25.909,0.1227
urban,QDAP-noGhost,25,2,0.87879,0.87727,0.60482,8.797,25.129,0.1227
urban,QDAP-noGhost,25,3,0.75556,0.75397,0.68355,33.465,25.938,0.1173
urban,QDAP-noGhost,25,4,0.86825,0.86667,0.58281,16.378,25.293,0.1173
urban,QDAP-noGhost,25,5,0.82609,0.82319,0.64067,23.943,26.539,0.1280
urban,QDAP-noGhost,25,6,0.71389,0.71250,0.59918,25.373,25.674,0.1333
urban,QDAP-noGhost,25,7,0.62857,0.62698,0.57184,36.838,26.901,0.1173
urban,QDAP-noGhost,25,8,0.78636,0.78333,0.62713,33.269,24.102,0.1227
urban,QDAP-noGhost,25,9,0.52333,0.52333,0.60381,13.891,25.757,0.1120
urban,QDAP-noGhost,25,10,0.68095,0.67778,0.60279,26.708,26.119,0.1173
urban,QDAP-noGhost,25,11,0.77536,0.77536,0.58805,13.348,25.684,0.1280
urban,QDAP-noGhost,25,12,0.83833,0.83500,0.64775,18.425,25.810,0.1120
urban,QDAP-noGhost,25,13,0.71905,0.71746,0.52916,27.530,26.112,0.1173
urban,QDAP-noGhost,25,14,0.66970,0.66970,0.62119,15.932,24.892,0.1227
