scenario,protocol,n_agents,run,bsm_sent,bsm_delivered,bsm_pdr,bsm_deadline_rate,denm_sent,denm_delivered,denm_pdr,denm_deadline_rate,latency_p50_ms,latency_p99_ms,emergency_p99_ms,mean_cbr,cascade_n_vehicles,cascade_mean_ms,cascade_p95_ms
cascade,DSRC 802.11p,75,5,476214,184395,0.3872,0.3872,4263,1465,0.3437,0.3437,0.54,2.47,2.52,0.4000,33,5982.69,17021.56
cascade,DSRC 802.11p,75,6,476868,184206,0.3863,0.3863,4360,1502,0.3445,0.3445,0.54,2.52,2.42,0.4000,32,5422.46,14425.62
cascade,DSRC 802.11p,75,7,473198,187343,0.3959,0.3959,4316,1585,0.3672,0.3672,0.54,2.50,2.28,0.4000,33,5667.25,16400.64
cascade,DSRC 802.11p,75,8,480196,185853,0.3870,0.3870,4378,1481,0.3383,0.3383,0.54,2.51,2.36,0.4000,32,5550.72,16250.58
cascade,DSRC 802.11p,75,9,476044,183347,0.3851,0.3851,4344,1513,0.3483,0.3483,0.54,2.50,2.41,0.4000,34,5171.18,14401.44
cascade,802.11bd,75,10,476214,217929,0.4576,0.4576,4263,1951,0.4577,0.4577,0.33,1.49,1.51,0.4000,35,5620.39,16820.21
cascade,802.11bd,75,11,476868,218081,0.4573,0.4573,4360,2000,0.4587,0.4587,0.33,1.51,1.35,0.4000,33,5239.87,14400.23
cascade,802.11bd,75,12,473198,221294,0.4677,0.4677,4316,2095,0.4854,0.4854,0.33,1.50,1.59,0.4000,34,5503.39,16400.30
cascade,802.11bd,75,13,480196,219056,0.4562,0.4562,4378,1983,0.4529,0.4529,0.33,1.50,1.49,0.4000,34,5212.19,16150.42
cascade,802.11bd,75,14,476044,216348,0.4545,0.4545,4344,2015,0.4639,0.4639,0.33,1.50,1.44,0.4000,34,5094.53,14400.54
cascade,C-V2X Mode 4,75,15,476214,198120,0.4160,0.4087,4263,1811,0.4248,0.2062,51.63,100.76,100.38,0.4000,35,5660.72,16874.54
cascade,C-V2X Mode 4,75,16,476868,198084,0.4154,0.4079,4360,1830,0.4197,0.2016,51.82,100.80,100.61,0.4000,34,5202.11,14421.94
cascade,C-V2X Mode 4,75,17,473198,201235,0.4253,0.4178,4316,1942,0.4500,0.2206,51.71,100.77,100.25,0.4000,34,5562.58,16414.92
cascade,C-V2X Mode 4,75,18,480196,199070,0.4146,0.4070,4378,1854,0.4235,0.2042,51.83,100.83,100.37,0.4000,34,5258.78,16228.92
cascade,C-V2X Mode 4,75,19,476044,196953,0.4137,0.4064,4344,1865,0.4293,0.2194,51.80,100.81,100.41,0.4000,34,5171.48,14412.41
cascade,UDP,75,20,476214,182756,0.3838,0.3838,4263,1682,0.3946,0.3946,1.39,9.23,9.15,0.4000,35,5630.55,16821.15
cascade,UDP,75,21,476868,182675,0.3831,0.3831,4360,1734,0.3977,0.3977,1.39,9.21,9.07,0.4000,33,5280.77,14400.71
cascade,UDP,75,22,473198,186031,0.3931,0.3931,4316,1812,0.4198,0.4198,1.38,9.20,9.21,0.4000,34,5525.38,16400.94
cascade,UDP,75,23,480196,183774,0.3827,0.3827,4378,1718,0.3924,0.3924,1.38,9.27,9.02,0.4000,33,5362.32,16203.02
cascade,UDP,75,24,476044,181483,0.3812,0.3812,4344,1786,0.4111,0.4111,1.39,9.25,9.80,0.4000,32,5399.02,14401.43
cascade,MQTT,75,25,476214,166261,0.3491,0.3316,4263,1534,0.3598,0.3498,9.93,410.45,211.07,0.4000,35,5663.69,16827.03
cascade,MQTT,75,26,476868,166599,0.3494,0.3318,4360,1595,0.3658,0.3553,9.96,410.75,211.70,0.4000,32,5489.91,14433.11
cascade,MQTT,75,27,473198,169294,0.3578,0.3397,4316,1700,0.3939,0.3839,9.91,410.71,209.46,0.4000,33,5724.07,16409.12
cascade,MQTT,75,28,480196,167524,0.3489,0.3317,4378,1596,0.3646,0.3543,9.97,410.50,210.34,0.4000,33,5445.08,16208.62
cascade,MQTT,75,29,476044,165326,0.3473,0.3299,4344,1629,0.3750,0.3660,9.94,410.46,208.95,0.4000,33,5445.08,14410.62
cascade,QDAP,100,0,847492,371429,0.4383,0.4383,6122,3031,0.4951,0.4951,1.69,10.15,2.92,0.5333,45,5034.18,15580.69
cascade,QDAP,100,1,849440,371830,0.4377,0.4377,5787,2385,0.4121,0.4121,1.73,10.32,2.83,0.5333,45,5667.68,15740.93
cascade,QDAP,100,2,853538,378175,0.4431,0.4431,5887,2861,0.4860,0.4860,1.82,10.48,2.86,0.5333,47,5817.86,16350.93
cascade,QDAP,100,3,849838,370729,0.4362,0.4362,5977,2906,0.4862,0.4862,1.72,10.29,2.89,0.5333,47,5856.30,16261.88
cascade,QDAP,100,4,853496,372059,0.4359,0.4359,5905,2747,0.4652,0.4652,1.72,10.26,2.78,0.5333,46,5494.26,15575.67
cascade,DSRC 802.11p,100,5,847492,329904,0.3893,0.3893,6122,2317,0.3785,0.3785,0.55,2.50,2.46,0.5333,44,5223.28,15610.56
cascade,DSRC 802.11p,100,6,849440,329431,0.3878,0.3878,5787,1771,0.3060,0.3060,0.55,2.52,2.68,0.5333,44,5855.14,15755.47
cascade,DSRC 802.11p,100,7,853538,335737,0.3933,0.3933,5887,2156,0.3662,0.3662,0.55,2.51,2.33,0.5333,47,5841.08,16350.39
cascade,DSRC 802.11p,100,8,849838,328986,0.3871,0.3871,5977,2258,0.3778,0.3778,0.55,2.50,2.60,0.5333,47,5894.20,16331.11
cascade,DSRC 802.11p,100,9,853496,330365,0.3871,0.3871,5905,2086,0.3533,0.3533,0.55,2.51,2.51,0.5333,46,5511.58,15575.26
cascade,802.11bd,100,10,847492,388788,0.4588,0.4588,6122,3087,0.5042,0.5042,0.34,1.51,1.56,0.5333,45,5040.37,15580.22
cascade,802.11bd,100,11,849440,389784,0.4589,0.4589,5787,2426,0.4192,0.4192,0.34,1.51,1.54,0.5333,45,5702.60,15740.40
cascade,802.11bd,100,12,853538,396392,0.4644,0.4644,5887,2849,0.4839,0.4839,0.34,1.52,1.60,0.5333,47,5766.32,16350.29
cascade,802.11bd,100,13,849838,388870,0.4576,0.4576,5977,2923,0.4890,0.4890,0.34,1.51,1.51,0.5333,47,5838.72,16260.34
cascade,802.11bd,100,14,853496,390414,0.4574,0.4574,5905,2801,0.4743,0.4743,0.34,1.51,1.47,0.5333,46,5467.72,15575.22
cascade,C-V2X Mode 4,100,15,847492,352795,0.4163,0.4086,6122,2817,0.4601,0.2261,51.82,100.82,100.59,0.5333,45,5087.59,15606.28
cascade,C-V2X Mode 4,100,16,849440,353365,0.4160,0.4085,5787,2243,0.3876,0.1865,51.90,100.80,100.85,0.5333,46,5696.25,15744.95
cascade,C-V2X Mode 4,100,17,853538,358880,0.4205,0.4128,5887,2653,0.4507,0.2159,51.76,100.83,100.54,0.5333,47,5824.77,16443.56
cascade,C-V2X Mode 4,100,18,849838,352028,0.4142,0.4067,5977,2726,0.4561,0.2245,51.91,100.80,100.43,0.5333,45,5738.76,15517.86
cascade,C-V2X Mode 4,100,19,853496,353039,0.4136,0.4062,5905,2599,0.4401,0.2178,51.85,100.79,100.43,0.5333,46,5522.64,15654.76
cascade,UDP,100,20,847492,332338,0.3921,0.3921,6122,2733,0.4464,0.4464,1.39,9.19,9.73,0.5333,45,5120.07,15580.44
cascade,UDP,100,21,849440,331709,0.3905,0.3905,5787,2137,0.3693,0.3693,1.38,9.18,9.12,0.5333,44,5814.22,15757.32
cascade,UDP,100,22,853538,338351,0.3964,0.3964,5887,2561,0.4350,0.4350,1.39,9.19,9.57,0.5333,46,5906.63,16375.97
cascade,UDP,100,23,849838,331519,0.3901,0.3901,5977,2645,0.4425,0.4425,1.38,9.25,9.85,0.5333,45,6100.18,16342.75
cascade,UDP,100,24,853496,332732,0.3898,0.3898,5905,2449,0.4147,0.4147,1.39,9.14,9.25,0.5333,46,5500.61,15576.44
cascade,MQTT,100,25,847492,303809,0.3585,0.3410,6122,2559,0.4180,0.4087,11.49,412.21,209.60,0.5333,44,5243.43,15619.20
cascade,MQTT,100,26,849440,302756,0.3564,0.3390,5787,1962,0.3390,0.3314,11.60,412.89,210.57,0.5333,44,5934.93,15769.30
cascade,MQTT,100,27,853538,308881,0.3619,0.3443,5887,2342,0.3978,0.3900,11.62,412.20,209.74,0.5333,46,5992.68,16390.88
cascade,MQTT,100,28,849838,302886,0.3564,0.3392,5977,2452,0.4102,0.4009,11.54,412.05,209.98,0.5333,46,6056.80,16313.64
cascade,MQTT,100,29,853496,303071,0.3551,0.3375,5905,2295,0.3887,0.3792,11.57,413.05,211.31,0.5333,45,5768.90,15589.76
