scenario,protocol,n_agents,run,bsm_sent,bsm_delivered,bsm_pdr,bsm_deadline_rate,denm_sent,denm_delivered,denm_pdr,denm_deadline_rate,latency_p50_ms,latency_p99_ms,emergency_p99_ms,mean_cbr,cascade_n_vehicles,cascade_mean_ms,cascade_p95_ms
highway,802.11bd,100,12,857226,398201,0.4645,0.4645,1475,633,0.4292,0.4292,0.34,1.51,1.46,0.5333,0,,
highway,802.11bd,100,13,853652,390172,0.4571,0.4571,1459,652,0.4469,0.4469,0.34,1.51,1.49,0.5333,0,,
highway,802.11bd,100,14,856974,391882,0.4573,0.4573,1449,628,0.4334,0.4334,0.34,1.52,1.32,0.5333,0,,
highway,C-V2X Mode 4,100,15,851840,353707,0.4152,0.4075,1346,508,0.3774,0.1686,51.80,100.84,100.80,0.5333,0,,
highway,C-V2X Mode 4,100,16,853020,354551,0.4156,0.4082,1423,595,0.4181,0.1982,51.77,100.78,100.78,0.5333,0,,
highway,C-V2X Mode 4,100,17,857226,360454,0.4205,0.4129,1475,583,0.3953,0.1878,51.92,100.79,100.44,0.5333,0,,
highway,C-V2X Mode 4,100,18,853652,353006,0.4135,0.4061,1459,594,0.4071,0.2008,51.84,100.81,100.30,0.5333,0,,
highway,C-V2X Mode 4,100,19,856974,354439,0.4136,0.4061,1449,592,0.4086,0.2091,51.92,100.81,99.81,0.5333,0,,
highway,UDP,100,20,851840,332944,0.3909,0.3909,1346,518,0.3848,0.3848,1.38,9.17,8.08,0.5333,0,,
highway,UDP,100,21,853020,333492,0.3910,0.3910,1423,566,0.3978,0.3978,1.39,9.23,10.78,0.5333,0,,
highway,UDP,100,22,857226,339692,0.3963,0.3963,1475,582,0.3946,0.3946,1.38,9.22,8.51,0.5333,0,,
highway,UDP,100,23,853652,332633,0.3897,0.3897,1459,582,0.3989,0.3989,1.38,9.23,8.97,0.5333,0,,
highway,UDP,100,24,856974,333890,0.3896,0.3896,1449,556,0.3837,0.3837,1.39,9.23,10.01,0.5333,0,,
highway,MQTT,100,25,851840,304119,0.3570,0.3393,1346,452,0.3358,0.3217,11.58,412.14,215.43,0.5333,0,,
highway,MQTT,100,26,853020,304561,0.3570,0.3395,1423,498,0.3500,0.3197,11.64,412.62,212.31,0.5333,0,,
highway,MQTT,100,27,857226,310122,0.3618,0.3438,1475,541,0.3668,0.3336,11.70,412.21,221.83,0.5333,0,,
highway,MQTT,100,28,853652,303889,0.3560,0.3386,1459,527,0.3612,0.3427,11.63,412.82,212.91,0.5333,0,,
highway,MQTT,100,29,856974,304519,0.3553,0.3376,1449,509,0.3513,0.3216,11.61,412.30,212.80,0.5333,0,,
cascade,QDAP,10,0,7846,2078,0.2648,0.2648,459,227,0.4946,0.4946,1.36,8.95,2.72,0.0533,3,7733.97,11840.96
cascade,QDAP,10,1,7838,2172,0.2771,0.2771,513,262,0.5107,0.5107,1.66,9.27,2.26,0.0533,3,6267.07,9720.58
cascade,QDAP,10,2,7768,2044,0.2631,0.2631,496,238,0.4798,0.4798,1.55,9.03,2.55,0.0533,3,7067.52,11800.70
cascade,QDAP,10,3,7792,2107,0.2704,0.2704,508,249,0.4902,0.4902,1.55,9.52,2.70,0.0533,3,6901.01,10630.92
cascade,QDAP,10,4,7812,2130,0.2727,0.2727,504,274,0.5437,0.5437,1.45,8.53,3.08,0.0533,3,6268.64,9403.21
cascade,DSRC 802.11p,10,5,7846,2061,0.2627,0.2627,459,184,0.4009,0.4009,0.49,2.29,1.86,0.0533,3,7734.26,11840.29
cascade,DSRC 802.11p,10,6,7838,2118,0.2702,0.2702,513,201,0.3918,0.3918,0.51,2.25,2.25,0.0533,3,6267.36,9721.05
cascade,DSRC 802.11p,10,7,7768,2014,0.2593,0.2593,496,189,0.3810,0.3810,0.51,2.54,1.84,0.0533,3,7100.39,11800.47
cascade,DSRC 802.11p,10,8,7792,2082,0.2672,0.2672,508,203,0.3996,0.3996,0.51,2.36,2.94,0.0533,3,6900.81,10630.84
cascade,DSRC 802.11p,10,9,7812,2112,0.2704,0.2704,504,213,0.4226,0.4226,0.52,2.37,2.59,0.0533,3,6334.14,9580.96
cascade,802.11bd,10,10,7846,2095,0.2670,0.2670,459,232,0.5054,0.5054,0.31,1.55,1.52,0.0533,3,7733.73,11840.44
cascade,802.11bd,10,11,7838,2238,0.2855,0.2855,513,269,0.5244,0.5244,0.30,1.40,1.57,0.0533,3,6266.94,9720.25
cascade,802.11bd,10,12,7768,2068,0.2662,0.2662,496,249,0.5020,0.5020,0.30,1.53,1.75,0.0533,3,7066.89,11800.43
cascade,802.11bd,10,13,7792,2123,0.2725,0.2725,508,250,0.4921,0.4921,0.31,1.46,1.38,0.0533,3,6900.70,10631.32
cascade,802.11bd,10,14,7812,2187,0.2800,0.2800,504,266,0.5278,0.5278,0.31,1.48,1.51,0.0533,3,6266.82,9400.33
cascade,C-V2X Mode 4,10,15,7846,2052,0.2615,0.2573,459,221,0.4815,0.2462,52.84,100.70,98.13,0.0533,3,7769.51,11863.61
cascade,C-V2X Mode 4,10,16,7838,2162,0.2758,0.2710,513,262,0.5107,0.2749,51.77,100.65,99.19,0.0533,3,6314.17,9779.70
cascade,C-V2X Mode 4,10,17,7768,2019,0.2599,0.2573,496,232,0.4677,0.2540,52.50,100.03,99.62,0.0533,3,7109.40,11862.14
cascade,C-V2X Mode 4,10,18,7792,2079,0.2668,0.2609,508,235,0.4626,0.2087,52.69,101.20,100.13,0.0533,3,6950.50,10696.57
cascade,C-V2X Mode 4,10,19,7812,2130,0.2727,0.2675,504,255,0.5060,0.2440,53.39,100.80,99.28,0.0533,3,6329.49,9471.32
cascade,UDP,10,20,7846,2056,0.2620,0.2620,459,217,0.4728,0.4728,1.40,9.16,8.72,0.0533,3,7769.55,11933.38
cascade,UDP,10,21,7838,2115,0.2698,0.2698,513,246,0.4795,0.4795,1.39,9.39,6.23,0.0533,3,6267.85,9721.74
cascade,UDP,10,22,7768,1994,0.2567,0.2567,496,229,0.4617,0.4617,1.32,8.96,8.11,0.0533,3,7070.47,11807.38
cascade,UDP,10,23,7792,2080,0.2669,0.2669,508,234,0.4606,0.4606,1.44,9.44,9.47,0.0533,3,6934.36,10640.03
cascade,UDP,10,24,7812,2117,0.2710,0.2710,504,234,0.4643,0.4643,1.42,9.11,8.70,0.0533,3,6302.30,9492.84
cascade,MQTT,10,25,7846,2030,0.2587,0.2578,459,206,0.4488,0.4444,7.08,13.63,14.19,0.0533,3,7739.41,11845.69
cascade,MQTT,10,26,7838,2042,0.2605,0.2578,513,236,0.4600,0.4600,7.06,18.03,13.88,0.0533,3,6274.89,9726.95
cascade,MQTT,10,27,7768,1950,0.2510,0.2473,496,217,0.4375,0.4294,7.07,207.24,206.96,0.0533,3,7106.97,11816.03
cascade,MQTT,10,28,7792,2063,0.2648,0.2635,508,230,0.4528,0.4409,7.10,15.97,207.31,0.0533,3,6939.45,10726.43
cascade,MQTT,10,29,7812,2068,0.2647,0.2619,504,230,0.4563,0.4444,7.08,205.89,206.88,0.0533,3,6273.84,9406.93
cascade,QDAP,25,0,47904,19547,0.4080,0.4080,1497,707,0.4723,0.4723,1.58,9.23,2.89,0.1333,11,6109.97,15551.38
cascade,QDAP,25,1,48860,19915,0.4076,0.4076,1544,748,0.4845,0.4845,1.64,9.63,2.75,0.1333,11,4682.67,14001.23
cascade,QDAP,25,2,48336,20032,0.4144,0.4144,1617,829,0.5127,0.5127,1.71,9.49,2.78,0.1333,14,5886.89,16815.42
cascade,QDAP,25,3,48706,19471,0.3998,0.3998,1552,741,0.4774,0.4774,1.58,9.50,2.71,0.1333,13,5169.99,15521.30
cascade,QDAP,25,4,48482,19447,0.4011,0.4011,1523,759,0.4984,0.4984,1.59,9.05,2.76,0.1333,12,4134.25,13091.54
cascade,DSRC 802.11p,25,5,47904,17309,0.3613,0.3613,1497,558,0.3727,0.3727,0.51,2.45,2.45,0.1333,11,6173.42,15650.73
cascade,DSRC 802.11p,25,6,48860,17825,0.3648,0.3648,1544,584,0.3782,0.3782,0.51,2.47,2.25,0.1333,11,4755.05,14000.93
cascade,DSRC 802.11p,25,7,48336,17939,0.3711,0.3711,1617,669,0.4137,0.4137,0.51,2.50,2.44,0.1333,13,6385.27,16860.42
cascade,DSRC 802.11p,25,8,48706,17389,0.3570,0.3570,1552,583,0.3756,0.3756,0.52,2.54,2.69,0.1333,12,5667.38,15660.55
cascade,DSRC 802.11p,25,9,48482,17483,0.3606,0.3606,1523,580,0.3808,0.3808,0.51,2.43,2.52,0.1333,10,4870.71,13365.60
cascade,802.11bd,25,10,47904,21207,0.4427,0.4427,1497,735,0.4910,0.4910,0.31,1.45,1.31,0.1333,12,5617.15,15445.60
cascade,802.11bd,25,11,48860,21647,0.4430,0.4430,1544,770,0.4987,0.4987,0.31,1.52,1.44,0.1333,11,4718.58,14000.32
cascade,802.11bd,25,12,48336,21788,0.4508,0.4508,1617,830,0.5133,0.5133,0.31,1.47,1.49,0.1333,14,5829.01,16850.59
cascade,802.11bd,25,13,48706,21183,0.4349,0.4349,1552,777,0.5006,0.5006,0.31,1.49,1.61,0.1333,13,5177.17,15520.07
cascade,802.11bd,25,14,48482,21060,0.4344,0.4344,1523,764,0.5016,0.5016,0.31,1.48,1.46,0.1333,12,4158.70,13090.18
cascade,C-V2X Mode 4,25,15,47904,19573,0.4086,0.4014,1497,676,0.4516,0.2391,51.72,100.75,100.36,0.1333,12,5701.93,15510.40
cascade,C-V2X Mode 4,25,16,48860,19957,0.4085,0.4011,1544,685,0.4437,0.2273,51.62,100.71,100.18,0.1333,11,4702.11,14098.59
cascade,C-V2X Mode 4,25,17,48336,20158,0.4170,0.4107,1617,776,0.4799,0.2393,51.69,100.71,100.52,0.1333,13,6332.04,16905.04
cascade,C-V2X Mode 4,25,18,48706,19455,0.3994,0.3919,1552,725,0.4671,0.2268,51.95,100.85,100.00,0.1333,13,5423.90,15575.85
cascade,C-V2X Mode 4,25,19,48482,19423,0.4006,0.3936,1523,723,0.4747,0.2482,51.37,100.79,100.65,0.1333,12,4123.25,13136.04
cascade,UDP,25,20,47904,16760,0.3499,0.3499,1497,636,0.4248,0.4248,1.38,9.01,7.86,0.1333,11,6111.84,15554.07
cascade,UDP,25,21,48860,17211,0.3523,0.3523,1544,650,0.4210,0.4210,1.40,9.28,9.44,0.1333,11,4820.16,14001.29
cascade,UDP,25,22,48336,17488,0.3618,0.3618,1617,740,0.4576,0.4576,1.40,9.09,9.10,0.1333,14,5973.08,16815.86
cascade,UDP,25,23,48706,16758,0.3441,0.3441,1552,685,0.4414,0.4414,1.39,9.04,9.74,0.1333,13,5324.95,15524.46
cascade,UDP,25,24,48482,16869,0.3479,0.3479,1523,681,0.4471,0.4471,1.38,9.49,9.99,0.1333,11,4483.61,13202.30
cascade,MQTT,25,25,47904,14890,0.3108,0.2886,1497,585,0.3908,0.3828,7.21,409.20,207.21,0.1333,11,6134.66,15557.56
cascade,MQTT,25,26,48860,15339,0.3139,0.2931,1544,620,0.4016,0.3925,7.23,409.49,207.33,0.1333,10,5108.16,14228.64
cascade,MQTT,25,27,48336,15433,0.3193,0.2976,1617,674,0.4168,0.4094,7.22,408.64,207.26,0.1333,12,6815.88,16912.06
cascade,MQTT,25,28,48706,14901,0.3059,0.2854,1552,625,0.4027,0.3943,7.21,408.32,206.61,0.1333,12,5699.65,15667.99
cascade,MQTT,25,29,48482,14992,0.3092,0.2888,1523,645,0.4235,0.4123,7.23,408.31,207.74,0.1333,10,4867.06,13317.63
cascade,QDAP,50,0,207376,87441,0.4217,0.4217,3019,1520,0.5035,0.5035,1.63,9.64,2.71,0.2667,26,6304.73,16975.43
cascade,QDAP,50,1,207240,88672,0.4279,0.4279,3038,1554,0.5115,0.5115,1.69,9.82,2.93,0.2667,24,5305.27,15415.77
cascade,QDAP,50,2,208164,89449,0.4297,0.4297,3042,1549,0.5092,0.5092,1.75,9.83,2.97,0.2667,23,4787.79,14461.03
cascade,QDAP,50,3,208618,87753,0.4206,0.4206,3153,1625,0.5154,0.5154,1.66,9.86,2.79,0.2667,24,5350.83,15620.69
cascade,QDAP,50,4,209668,88699,0.4230,0.4230,2971,1455,0.4897,0.4897,1.66,9.73,2.88,0.2667,22,5128.31,13671.26
cascade,DSRC 802.11p,50,5,207376,79277,0.3823,0.3823,3019,1230,0.4074,0.4074,0.53,2.47,2.35,0.2667,26,6327.56,17075.56
cascade,DSRC 802.11p,50,6,207240,80582,0.3888,0.3888,3038,1206,0.3970,0.3970,0.52,2.49,2.68,0.2667,22,5809.74,15607.21
cascade,DSRC 802.11p,50,7,208164,81098,0.3896,0.3896,3042,1176,0.3866,0.3866,0.53,2.49,2.87,0.2667,22,5032.50,14625.53
cascade,DSRC 802.11p,50,8,208618,79241,0.3798,0.3798,3153,1284,0.4072,0.4072,0.52,2.47,2.48,0.2667,24,5408.94,15635.63
cascade,DSRC 802.11p,50,9,209668,79861,0.3809,0.3809,2971,1172,0.3945,0.3945,0.53,2.48,2.43,0.2667,22,5137.04,13675.92
cascade,802.11bd,50,10,207376,93873,0.4527,0.4527,3019,1571,0.5204,0.5204,0.32,1.49,1.50,0.2667,26,6300.40,16975.26
cascade,802.11bd,50,11,207240,95382,0.4602,0.4602,3038,1579,0.5197,0.5197,0.32,1.49,1.53,0.2667,24,5358.72,15415.63
cascade,802.11bd,50,12,208164,95987,0.4611,0.4611,3042,1556,0.5115,0.5115,0.32,1.48,1.49,0.2667,23,4761.38,14460.15
cascade,802.11bd,50,13,208618,94028,0.4507,0.4507,3153,1641,0.5205,0.5205,0.32,1.49,1.47,0.2667,24,5296.25,15620.27
cascade,802.11bd,50,14,209668,95267,0.4544,0.4544,2971,1525,0.5133,0.5133,0.32,1.49,1.40,0.2667,22,5132.28,13670.33
cascade,C-V2X Mode 4,50,15,207376,85933,0.4144,0.4070,3019,1462,0.4843,0.2458,51.76,100.79,100.35,0.2667,26,6362.52,17001.84
cascade,C-V2X Mode 4,50,16,207240,87321,0.4214,0.4136,3038,1479,0.4868,0.2370,51.70,100.80,100.58,0.2667,24,5440.03,15462.64
cascade,C-V2X Mode 4,50,17,208164,87947,0.4225,0.4153,3042,1447,0.4757,0.2410,51.82,100.73,100.35,0.2667,23,4809.73,14534.81
cascade,C-V2X Mode 4,50,18,208618,86017,0.4123,0.4047,3153,1573,0.4989,0.2445,52.06,100.79,99.84,0.2667,23,5592.74,15764.55
cascade,C-V2X Mode 4,50,19,209668,86990,0.4149,0.4077,2971,1395,0.4695,0.2201,51.78,100.79,100.39,0.2667,23,4927.62,13671.42
cascade,UDP,50,20,207376,77672,0.3745,0.3745,3019,1404,0.4651,0.4651,1.40,9.25,9.53,0.2667,26,6356.17,16977.44
cascade,UDP,50,21,207240,78883,0.3806,0.3806,3038,1388,0.4569,0.4569,1.39,9.20,8.61,0.2667,24,5289.28,15415.43
cascade,UDP,50,22,208164,79229,0.3806,0.3806,3042,1399,0.4599,0.4599,1.38,9.20,8.99,0.2667,23,4775.82,14460.43
cascade,UDP,50,23,208618,77767,0.3728,0.3728,3153,1471,0.4665,0.4665,1.38,9.20,9.06,0.2667,24,5352.26,15626.07
cascade,UDP,50,24,209668,78536,0.3746,0.3746,2971,1331,0.4480,0.4480,1.39,9.18,9.08,0.2667,23,4997.44,13642.51
cascade,MQTT,50,25,207376,70693,0.3409,0.3234,3019,1316,0.4359,0.4289,8.47,409.20,206.45,0.2667,25,6692.17,17069.58
cascade,MQTT,50,26,207240,71606,0.3455,0.3279,3038,1306,0.4299,0.4190,8.41,408.94,209.08,0.2667,22,5825.97,15612.04
cascade,MQTT,50,27,208164,71904,0.3454,0.3277,3042,1322,0.4346,0.4257,8.49,409.27,208.83,0.2667,22,4981.17,14537.07
cascade,MQTT,50,28,208618,70553,0.3382,0.3202,3153,1384,0.4389,0.4244,8.49,409.18,208.83,0.2667,24,5416.86,15646.82
cascade,MQTT,50,29,209668,71317,0.3401,0.3227,2971,1244,0.4187,0.4076,8.50,409.34,208.54,0.2667,21,5375.42,13708.19
cascade,QDAP,75,0,476214,204801,0.4301,0.4301,4263,1864,0.4373,0.4373,1.69,10.00,2.93,0.4000,35,5606.82,16820.34
cascade,QDAP,75,1,476868,204869,0.4296,0.4296,4360,1966,0.4509,0.4509,1.69,10.01,2.81,0.4000,34,5136.22,14376.31
cascade,QDAP,75,2,473198,208283,0.4402,0.4402,4316,2032,0.4708,0.4708,1.80,10.29,2.79,0.4000,34,5512.61,16400.45
cascade,QDAP,75,3,480196,205894,0.4288,0.4288,4378,1961,0.4479,0.4479,1.70,10.08,2.87,0.4000,34,5253.87,16150.71
cascade,QDAP,75,4,476044,203886,0.4283,0.4283,4344,2011,0.4629,0.4629,1.65,9.90,2.81,0.4000,34,5130.34,14401.31
